BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lij | Linguist: lij
BPE: men | Linguist: men
BPE: ij | Linguist: ij
BPE: lä | Linguist: lä
BPE: aj | Linguist: aj
BPE: men | Linguist: men
BPE: dä | Linguist: dä
BPE: del | Linguist: del
BPE: dån | Linguist: dån
BPE: vanj | Linguist: vanj
BPE: aj | Linguist: aj
BPE: ja | Linguist: ja
BPE: aj | Linguist: aj
BPE: vanj | Linguist: vanj
BPE: sáme | Linguist: sáme
BPE: danne | Linguist: danne
BPE: ij | Linguist: ij
BPE: lä | Linguist: lä
BPE: gu | Linguist: gu
BPE: dån | Linguist: dån
BPE: nå | Linguist: nå
BPE: gu | Linguist: gu
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: ij | Linguist: ij
BPE: almatj | Linguist: almatj
BPE: almatj | Linguist: almatj
BPE: danne | Linguist: danne
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: almatj | Linguist: almatj
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: jus | Linguist: jus
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: sáme | Linguist: sáme
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: men | Linguist: men
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: li p | Linguist: li p
BPE: biebmo v | Linguist: biebmo v
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: jus | Linguist: jus
BPE: dä | Linguist: dä
BPE: dä | Linguist: dä
BPE: men | Linguist: men
BPE: lä | Linguist: lä
BPE: del | Linguist: del
BPE: mån | Linguist: mån
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: du v | Linguist: du v
BPE: nanne | Linguist: nanne
BPE: lä | Linguist: lä
BPE: nanne | Linguist: nanne
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: nanne | Linguist: nanne
BPE: ja | Linguist: ja
BPE: men | Linguist: men
BPE: del | Linguist: del
BPE: men | Linguist: men
BPE: biebmo jd | Linguist: biebmo jd
BPE: ja | Linguist: ja
BPE: almatj | Linguist: almatj
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: lij | Linguist: lij
BPE: nav | Linguist: nav
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: dån | Linguist: dån
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: man | Linguist: man
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: nå | Linguist: nå
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: del | Linguist: del
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: dä | Linguist: dä
BPE: jus | Linguist: jus
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: jus | Linguist: jus
BPE: del | Linguist: del
BPE: mån | Linguist: mån
BPE: dä | Linguist: dä
BPE: ma jna | Linguist: ma jna
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ma jd | Linguist: ma jd
BPE: ma | Linguist: ma
BPE: dä | Linguist: dä
BPE: ma | Linguist: ma
BPE: ma sa | Linguist: ma sa
BPE: lä | Linguist: lä
BPE: men | Linguist: men
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: almatj | Linguist: almatj
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ma | Linguist: ma
BPE: lä | Linguist: lä
