BPE: e | Linguist: e
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: tei | Linguist: tei
BPE: keha | Linguist: keha
BPE: mae | Linguist: mae
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: gehati | Linguist: gehati
BPE: mae | Linguist: mae
BPE: re | Linguist: re
BPE: keha | Linguist: keha
BPE: mae di | Linguist: mae di
BPE: iago | Linguist: iago
BPE: na | Linguist: na
BPE: e | Linguist: e
BPE: egu | Linguist: egu
BPE: keha | Linguist: keha
BPE: au | Linguist: au
BPE: sua | Linguist: sua
BPE: kaisei | Linguist: kaisei
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: phei | Linguist: phei
BPE: nalha'u | Linguist: nalha'u
BPE: egu | Linguist: egu
BPE: kaisei | Linguist: kaisei
BPE: mae | Linguist: mae
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: sua | Linguist: sua
BPE: theome | Linguist: theome
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: n̄a | Linguist: n̄a
BPE: ido gna | Linguist: ido gna
BPE: u | Linguist: u
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: nalha'u | Linguist: nalha'u
BPE: ḡre | Linguist: ḡre
BPE: me | Linguist: me
BPE: ke | Linguist: ke
BPE: ka | Linguist: ka
BPE: mae | Linguist: mae
BPE: nalha'u | Linguist: nalha'u
BPE: na | Linguist: na
BPE: na | Linguist: na
BPE: gne | Linguist: gne
BPE: au | Linguist: au
BPE: egu | Linguist: egu
BPE: n̄ala | Linguist: n̄ala
BPE: na | Linguist: na
BPE: neke | Linguist: neke
BPE: iara | Linguist: iara
BPE: neke | Linguist: neke
BPE: au | Linguist: au
BPE: na | Linguist: na
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: gne | Linguist: gne
BPE: gehati | Linguist: gehati
BPE: phei | Linguist: phei
BPE: vike | Linguist: vike
BPE: n̄ala | Linguist: n̄ala
BPE: iara | Linguist: iara
BPE: gne | Linguist: gne
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: vike | Linguist: vike
BPE: me | Linguist: me
BPE: iara | Linguist: iara
BPE: me | Linguist: me
BPE: na | Linguist: na
BPE: iara | Linguist: iara
BPE: ka | Linguist: ka
BPE: iago | Linguist: iago
BPE: mae | Linguist: mae
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: ge | Linguist: ge
BPE: fara | Linguist: fara
BPE: teke | Linguist: teke
BPE: sua | Linguist: sua
BPE: fara | Linguist: fara
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: sua | Linguist: sua
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: sua | Linguist: sua
BPE: kmana | Linguist: kmana
BPE: fara | Linguist: fara
BPE: kmana | Linguist: kmana
BPE: fara | Linguist: fara
BPE: sua | Linguist: sua
BPE: sua | Linguist: sua
BPE: fara | Linguist: fara
BPE: na | Linguist: na
BPE: tifa | Linguist: tifa
BPE: sua | Linguist: sua
BPE: teuna | Linguist: teuna
BPE: iago | Linguist: iago
BPE: kaisei | Linguist: kaisei
BPE: ia | Linguist: ia
BPE: mae | Linguist: mae
BPE: nalha'u | Linguist: nalha'u
BPE: ia | Linguist: ia
BPE: mei | Linguist: mei
BPE: au | Linguist: au
BPE: ka | Linguist: ka
BPE: iara | Linguist: iara
BPE: sua | Linguist: sua
BPE: re | Linguist: re
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: si | Linguist: si
BPE: ia | Linguist: ia
BPE: mae | Linguist: mae
BPE: tifa | Linguist: tifa
BPE: re | Linguist: re
BPE: neke | Linguist: neke
BPE: kolho | Linguist: kolho
BPE: thu di | Linguist: thu di
BPE: the di | Linguist: the di
BPE: ge | Linguist: ge
BPE: re | Linguist: re
BPE: au | Linguist: au
BPE: thu di | Linguist: thu di
BPE: ḡa'ase | Linguist: ḡa'ase
BPE: ba | Linguist: ba
BPE: iara | Linguist: iara
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: na | Linguist: na
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: ka | Linguist: ka
BPE: ido gna | Linguist: ido gna
BPE: khera gna | Linguist: khera gna
BPE: u | Linguist: u
BPE: na | Linguist: na
BPE: nei | Linguist: nei
BPE: nalha’u | Linguist: nalha’u
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: ge | Linguist: ge
BPE: mae | Linguist: mae
BPE: na | Linguist: na
BPE: la | Linguist: la
BPE: theo | Linguist: theo
BPE: na | Linguist: na
BPE: te | Linguist: te
BPE: teuna | Linguist: teuna
BPE: kolho | Linguist: kolho
BPE: na | Linguist: na
BPE: ∅ | Linguist: ∅
BPE: ka | Linguist: ka
BPE: te | Linguist: te
BPE: mae | Linguist: mae
BPE: sua | Linguist: sua
BPE: te | Linguist: te
BPE: au | Linguist: au
BPE: mae | Linguist: mae
BPE: fara | Linguist: fara
BPE: fara | Linguist: fara
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: te | Linguist: te
BPE: tei | Linguist: tei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: mare | Linguist: mare
BPE: kaisei | Linguist: kaisei
BPE: u | Linguist: u
BPE: ka | Linguist: ka
BPE: gehati | Linguist: gehati
BPE: gne | Linguist: gne
BPE: iara | Linguist: iara
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: egu | Linguist: egu
BPE: na | Linguist: na
BPE: mae | Linguist: mae
BPE: ḡre | Linguist: ḡre
BPE: ra | Linguist: ra
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: ka | Linguist: ka
BPE: ia | Linguist: ia
BPE: egu | Linguist: egu
BPE: ia | Linguist: ia
BPE: iara | Linguist: iara
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: neke | Linguist: neke
BPE: tei | Linguist: tei
BPE: ia | Linguist: ia
BPE: na | Linguist: na
BPE: mei | Linguist: mei
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: mala | Linguist: mala
BPE: ka | Linguist: ka
BPE: ke | Linguist: ke
BPE: mae | Linguist: mae
BPE: ke | Linguist: ke
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: neke | Linguist: neke
BPE: phei | Linguist: phei
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: me | Linguist: me
BPE: ka | Linguist: ka
BPE: na | Linguist: na
BPE: teke | Linguist: teke
BPE: ke | Linguist: ke
BPE: gne | Linguist: gne
BPE: te | Linguist: te
BPE: keli | Linguist: keli
BPE: ta ḡu | Linguist: ta ḡu
BPE: na | Linguist: na
BPE: mala | Linguist: mala
BPE: egu | Linguist: egu
BPE: mei | Linguist: mei
BPE: ka | Linguist: ka
BPE: ka | Linguist: ka
BPE: iago | Linguist: iago
BPE: tei | Linguist: tei
BPE: ka | Linguist: ka
BPE: u | Linguist: u
BPE: narane | Linguist: narane
BPE: neke | Linguist: neke
BPE: ka | Linguist: ka
BPE: tei | Linguist: tei
BPE: uḡra | Linguist: uḡra
BPE: sasa | Linguist: sasa
BPE: ka | Linguist: ka
BPE: ia | Linguist: ia
BPE: te | Linguist: te
BPE: mala | Linguist: mala
BPE: mei | Linguist: mei
BPE: te | Linguist: te
BPE: mana | Linguist: mana
BPE: ka | Linguist: ka
BPE: narane | Linguist: narane
BPE: mei | Linguist: mei
BPE: iara | Linguist: iara
BPE: ka | Linguist: ka
BPE: narane | Linguist: narane
BPE: gne | Linguist: gne
BPE: tahati | Linguist: tahati
BPE: te | Linguist: te
BPE: u | Linguist: u
BPE: mae | Linguist: mae
BPE: fara | Linguist: fara
BPE: te | Linguist: te
BPE: na | Linguist: na
BPE: egu | Linguist: egu
BPE: fara | Linguist: fara
BPE: ka | Linguist: ka
BPE: au | Linguist: au
BPE: ta di | Linguist: ta di
BPE: gne | Linguist: gne
BPE: si | Linguist: si
BPE: ia | Linguist: ia
