BPE: ṯrōh | Linguist: ṯrōh
BPE: ḳəblɛ̄t | Linguist: ḳəblɛ̄t
BPE: ī | Linguist: ī
BPE: hoh | Linguist: hoh
BPE: eḳāʕ | Linguist: eḳāʕ
BPE: lə | Linguist: lə
BPE: bəṭáḥrīt | Linguist: bəṭáḥrīt
BPE: faḳḥ | Linguist: faḳḥ
BPE: ṭāsəh | Linguist: ṭāsəh
BPE: ḥəlḳāt | Linguist: ḥəlḳāt
BPE: lə | Linguist: lə
BPE: fəṣ́ṣ́át | Linguist: fəṣ́ṣ́át
BPE: w | Linguist: w
BPE: w | Linguist: w
BPE: w | Linguist: w
BPE: śīsənāt | Linguist: śīsənāt
BPE: w | Linguist: w
BPE: w | Linguist: w
BPE: naʕīš | Linguist: naʕīš
BPE: kəl | Linguist: kəl
BPE: bɛre | Linguist: bɛre
BPE: mɛ̄t | Linguist: mɛ̄t
BPE: mātū | Linguist: mātū
BPE: mən | Linguist: mən
BPE: aglōl | Linguist: aglōl
BPE: teh | Linguist: teh
BPE: lā | Linguist: lā
BPE: əmūh | Linguist: əmūh
BPE: hēt | Linguist: hēt
