BPE: lol i | Linguist: lol i
BPE: soyro | Linguist: soyro
BPE: ilʲó | Linguist: ilʲó
BPE: goli | Linguist: goli
BPE: huⁿne ho | Linguist: huⁿne ho
BPE: ide ul | Linguist: ide ul
BPE: idu | Linguist: idu
BPE: soyro | Linguist: soyro
BPE: idu | Linguist: idu
BPE: boc’o | Linguist: boc’o
BPE: ise | Linguist: ise
BPE: ono | Linguist: ono
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: iłe | Linguist: iłe
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: de | Linguist: de
BPE: uže | Linguist: uže
BPE: guc’ un | Linguist: guc’ un
BPE: idu | Linguist: idu
BPE: lol bo | Linguist: lol bo
BPE: uže | Linguist: uže
BPE: is i | Linguist: is i
BPE: ise | Linguist: ise
BPE: hada | Linguist: hada
BPE: idu | Linguist: idu
BPE: ɣine | Linguist: ɣine
BPE: ło | Linguist: ło
BPE: heⁿše | Linguist: heⁿše
BPE: obu | Linguist: obu
BPE: soyro | Linguist: soyro
BPE: ʎɨn | Linguist: ʎɨn
BPE: soyro | Linguist: soyro
BPE: iłe | Linguist: iłe
BPE: iʎ aʎa | Linguist: iʎ aʎa
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: hos | Linguist: hos
BPE: kad | Linguist: kad
BPE: guc’ a | Linguist: guc’ a
BPE: hobo | Linguist: hobo
BPE: ʎun | Linguist: ʎun
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: lac’a | Linguist: lac’a
BPE: žu | Linguist: žu
BPE: uže | Linguist: uže
BPE: šiʎ’u | Linguist: šiʎ’u
BPE: diyo | Linguist: diyo
BPE: žu | Linguist: žu
BPE: dubul | Linguist: dubul
BPE: diyo | Linguist: diyo
BPE: us un | Linguist: us un
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: žik’o | Linguist: žik’o
BPE: diyo | Linguist: diyo
BPE: łuq un | Linguist: łuq un
BPE: soyro | Linguist: soyro
BPE: gul i | Linguist: gul i
BPE: žide | Linguist: žide
BPE: šiʎ’u | Linguist: šiʎ’u
BPE: hibo | Linguist: hibo
BPE: me | Linguist: me
BPE: ʎun | Linguist: ʎun
BPE: heč’č’e | Linguist: heč’č’e
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: eⁿš | Linguist: eⁿš
BPE: eⁿš | Linguist: eⁿš
BPE: iso | Linguist: iso
BPE: ʎar la | Linguist: ʎar la
BPE: ɣiná | Linguist: ɣiná
BPE: gul un | Linguist: gul un
BPE: idu | Linguist: idu
BPE: žoho | Linguist: žoho
BPE: mok’o ʎ’o | Linguist: mok’o ʎ’o
BPE: žik’o | Linguist: žik’o
BPE: žoho | Linguist: žoho
BPE: aq la | Linguist: aq la
BPE: goli | Linguist: goli
BPE: isulo | Linguist: isulo
BPE: de | Linguist: de
BPE: aq qa | Linguist: aq qa
BPE: do n | Linguist: do n
BPE: ħono č | Linguist: ħono č
BPE: ílʲo | Linguist: ílʲo
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: aq ma | Linguist: aq ma
BPE: gul un | Linguist: gul un
BPE: goli | Linguist: goli
BPE: kad | Linguist: kad
BPE: dub ʎ’o | Linguist: dub ʎ’o
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: iłe | Linguist: iłe
BPE: heⁿše | Linguist: heⁿše
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: ise | Linguist: ise
BPE: xan ɨs | Linguist: xan ɨs
BPE: kad | Linguist: kad
BPE: xabar | Linguist: xabar
BPE: hed | Linguist: hed
BPE: iłe | Linguist: iłe
BPE: ɣiná | Linguist: ɣiná
BPE: lac’a | Linguist: lac’a
BPE: hada | Linguist: hada
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: do | Linguist: do
BPE: idu | Linguist: idu
BPE: hic bič | Linguist: hic bič
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
BPE: hobołe | Linguist: hobołe
BPE: iłes | Linguist: iłes
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: łul | Linguist: łul
BPE: ʎun | Linguist: ʎun
BPE: dow | Linguist: dow
BPE: dubo | Linguist: dubo
BPE: goli | Linguist: goli
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: izzu | Linguist: izzu
BPE: boc’ i | Linguist: boc’ i
BPE: mo | Linguist: mo
BPE: ʎɨn | Linguist: ʎɨn
BPE: dub qo | Linguist: dub qo
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: himon q’e | Linguist: himon q’e
BPE: iłe | Linguist: iłe
BPE: dubul | Linguist: dubul
BPE: uže | Linguist: uže
BPE: ʎɨn | Linguist: ʎɨn
BPE: nartaw i | Linguist: nartaw i
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: dogu | Linguist: dogu
BPE: ħono | Linguist: ħono
BPE: dubul | Linguist: dubul
BPE: ʎɨn | Linguist: ʎɨn
BPE: hibo ʎa | Linguist: hibo ʎa
BPE: hos | Linguist: hos
BPE: hadam | Linguist: hadam
BPE: diyo | Linguist: diyo
BPE: ø ak bič | Linguist: ø ak bič
BPE: goli | Linguist: goli
BPE: q’ala | Linguist: q’ala
BPE: kul še | Linguist: kul še
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: himon | Linguist: himon
BPE: iʎ a | Linguist: iʎ a
BPE: os | Linguist: os
BPE: iʎ a | Linguist: iʎ a
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: hadam | Linguist: hadam
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: dubul | Linguist: dubul
BPE: himon | Linguist: himon
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: hibo | Linguist: hibo
BPE: himon | Linguist: himon
BPE: dow | Linguist: dow
BPE: himon | Linguist: himon
BPE: łun | Linguist: łun
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid bi | Linguist: c’alid bi
BPE: ise | Linguist: ise
BPE: isul | Linguist: isul
BPE: soyro | Linguist: soyro
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: ʎɨn | Linguist: ʎɨn
BPE: iʎ bi | Linguist: iʎ bi
BPE: himon | Linguist: himon
BPE: heč’č’e | Linguist: heč’č’e
BPE: himon | Linguist: himon
BPE: diyo | Linguist: diyo
BPE: ħono | Linguist: ħono
BPE: goli | Linguist: goli
BPE: hobołe | Linguist: hobołe
BPE: hos t’a | Linguist: hos t’a
BPE: idu | Linguist: idu
BPE: hadam | Linguist: hadam
BPE: guc’ a | Linguist: guc’ a
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: gollu | Linguist: gollu
BPE: dilʲ | Linguist: dilʲ
BPE: hos | Linguist: hos
BPE: ħono | Linguist: ħono
BPE: quno | Linguist: quno
BPE: quno | Linguist: quno
BPE: quno | Linguist: quno
BPE: hos iʎʎu | Linguist: hos iʎʎu
BPE: ħono iʎʎu | Linguist: ħono iʎʎu
BPE: quno | Linguist: quno
BPE: hos iʎʎu | Linguist: hos iʎʎu
BPE: ħono | Linguist: ħono
BPE: quno | Linguist: quno
BPE: židu | Linguist: židu
BPE: hos | Linguist: hos
BPE: heč’č’e | Linguist: heč’č’e
BPE: hos t’a | Linguist: hos t’a
BPE: hos | Linguist: hos
BPE: quno | Linguist: quno
BPE: do | Linguist: do
BPE: do | Linguist: do
BPE: hed | Linguist: hed
BPE: ʎɨn | Linguist: ʎɨn
BPE: ɣiná | Linguist: ɣiná
BPE: hobože | Linguist: hobože
BPE: os | Linguist: os
BPE: kandu qo | Linguist: kandu qo
BPE: gobi | Linguist: gobi
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: dilʲ | Linguist: dilʲ
BPE: mo | Linguist: mo
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: hed | Linguist: hed
BPE: ílʲo | Linguist: ílʲo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ilʲó | Linguist: ilʲó
BPE: hadam | Linguist: hadam
BPE: ise | Linguist: ise
BPE: obu | Linguist: obu
BPE: ʎɨn | Linguist: ʎɨn
BPE: de | Linguist: de
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: eⁿš | Linguist: eⁿš
BPE: ʎɨn | Linguist: ʎɨn
BPE: kul un | Linguist: kul un
BPE: hobołe | Linguist: hobołe
BPE: hobołe | Linguist: hobołe
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: ono | Linguist: ono
BPE: aq ba n | Linguist: aq ba n
BPE: izzu | Linguist: izzu
BPE: ise | Linguist: ise
BPE: tuq še | Linguist: tuq še
BPE: xabar | Linguist: xabar
BPE: bataxu | Linguist: bataxu
BPE: židu | Linguist: židu
BPE: ise | Linguist: ise
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: de | Linguist: de
BPE: kaɣat | Linguist: kaɣat
BPE: do | Linguist: do
BPE: lac’a | Linguist: lac’a
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: me | Linguist: me
BPE: isx o | Linguist: isx o
BPE: dogu | Linguist: dogu
BPE: do | Linguist: do
BPE: kul a | Linguist: kul a
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: obu | Linguist: obu
BPE: kul a | Linguist: kul a
BPE: žu | Linguist: žu
BPE: užá | Linguist: užá
BPE: kul a | Linguist: kul a
BPE: ɣode | Linguist: ɣode
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: lac’a | Linguist: lac’a
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: zihe | Linguist: zihe
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ħalt’i | Linguist: ħalt’i
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ħalt’i | Linguist: ħalt’i
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ise | Linguist: ise
BPE: os | Linguist: os
BPE: ise | Linguist: ise
BPE: soyro | Linguist: soyro
BPE: os | Linguist: os
BPE: himon un | Linguist: himon un
BPE: himon | Linguist: himon
BPE: iłe | Linguist: iłe
BPE: ilʲó | Linguist: ilʲó
BPE: q’ala | Linguist: q’ala
BPE: hed | Linguist: hed
BPE: žide | Linguist: žide
BPE: uže | Linguist: uže
BPE: ɣiná | Linguist: ɣiná
BPE: idu | Linguist: idu
BPE: mo | Linguist: mo
BPE: ono | Linguist: ono
BPE: de | Linguist: de
BPE: gobi | Linguist: gobi
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: hobože | Linguist: hobože
BPE: hed | Linguist: hed
BPE: ħono | Linguist: ħono
BPE: gobi | Linguist: gobi
BPE: ʎɨn | Linguist: ʎɨn
BPE: nartaw i | Linguist: nartaw i
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: ilʲó | Linguist: ilʲó
BPE: ono | Linguist: ono
BPE: idu | Linguist: idu
BPE: užal | Linguist: užal
BPE: liʎ | Linguist: liʎ
BPE: užal | Linguist: užal
BPE: liʎ | Linguist: liʎ
BPE: užal | Linguist: užal
BPE: liʎ | Linguist: liʎ
BPE: užal | Linguist: užal
BPE: liʎ | Linguist: liʎ
BPE: huniža | Linguist: huniža
BPE: q’ala | Linguist: q’ala
BPE: huniža | Linguist: huniža
BPE: q’ala | Linguist: q’ala
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid in | Linguist: c’alid in
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid in | Linguist: c’alid in
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid bič | Linguist: c’alid bič
BPE: hic i | Linguist: hic i
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: tuq un | Linguist: tuq un
BPE: hos | Linguist: hos
BPE: boc’o | Linguist: boc’o
BPE: dilʲ | Linguist: dilʲ
BPE: kad | Linguist: kad
BPE: c’aq’ | Linguist: c’aq’
BPE: goli | Linguist: goli
BPE: iłe | Linguist: iłe
BPE: is in ay | Linguist: is in ay
BPE: ɣono ł | Linguist: ɣono ł
BPE: žu | Linguist: žu
BPE: hic in | Linguist: hic in
BPE: idu | Linguist: idu
BPE: iłe | Linguist: iłe
BPE: kad | Linguist: kad
BPE: žu | Linguist: žu
BPE: hic in | Linguist: hic in
BPE: mo | Linguist: mo
BPE: gobi | Linguist: gobi
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: boc’ i | Linguist: boc’ i
BPE: ħalt’i | Linguist: ħalt’i
BPE: gollu | Linguist: gollu
BPE: hadam | Linguist: hadam
BPE: goli | Linguist: goli
BPE: ħalt’i | Linguist: ħalt’i
BPE: hadam | Linguist: hadam
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: ílʲo | Linguist: ílʲo
BPE: gollu | Linguist: gollu
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: kad | Linguist: kad
BPE: idu | Linguist: idu
BPE: židu | Linguist: židu
BPE: himon uč | Linguist: himon uč
BPE: mok’o | Linguist: mok’o
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: iłel | Linguist: iłel
BPE: žu | Linguist: žu
BPE: uže | Linguist: uže
BPE: kul un | Linguist: kul un
BPE: iso | Linguist: iso
BPE: keč’i | Linguist: keč’i
BPE: goli | Linguist: goli
BPE: is a | Linguist: is a
BPE: izzu | Linguist: izzu
BPE: ʎɨn | Linguist: ʎɨn
BPE: žide | Linguist: žide
BPE: dilʲ | Linguist: dilʲ
BPE: ɣode | Linguist: ɣode
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: dubul | Linguist: dubul
BPE: hibo | Linguist: hibo
BPE: himon | Linguist: himon
BPE: dubul | Linguist: dubul
BPE: ʎun | Linguist: ʎun
BPE: ɣode | Linguist: ɣode
BPE: ílʲo | Linguist: ílʲo
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: dilʲ | Linguist: dilʲ
BPE: heč’č’e | Linguist: heč’č’e
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: diyo | Linguist: diyo
BPE: de | Linguist: de
BPE: iłes | Linguist: iłes
BPE: šiʎ’u | Linguist: šiʎ’u
BPE: do | Linguist: do
BPE: ɣuɣu | Linguist: ɣuɣu
BPE: y ah i | Linguist: y ah i
BPE: do | Linguist: do
BPE: ɣuɣu | Linguist: ɣuɣu
BPE: y ah un | Linguist: y ah un
BPE: žu | Linguist: žu
BPE: ɣuɣu | Linguist: ɣuɣu
BPE: žu | Linguist: žu
BPE: ɣuɣu | Linguist: ɣuɣu
BPE: hed | Linguist: hed
BPE: hed | Linguist: hed
BPE: ide zi | Linguist: ide zi
BPE: do | Linguist: do
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: žu | Linguist: žu
BPE: do | Linguist: do
BPE: hed | Linguist: hed
BPE: žu | Linguist: žu
BPE: n uq un | Linguist: n uq un
BPE: hed | Linguist: hed
BPE: hibo k | Linguist: hibo k
BPE: goli | Linguist: goli
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: izzu | Linguist: izzu
BPE: izzu | Linguist: izzu
BPE: do | Linguist: do
BPE: hos | Linguist: hos
BPE: žequł | Linguist: žequł
BPE: do | Linguist: do
BPE: c’aq’ | Linguist: c’aq’
BPE: do | Linguist: do
BPE: diyo | Linguist: diyo
BPE: is bič | Linguist: is bič
BPE: obu | Linguist: obu
BPE: de | Linguist: de
BPE: iʎ bi k | Linguist: iʎ bi k
BPE: ʎɨn | Linguist: ʎɨn
BPE: q’ala | Linguist: q’ala
BPE: is aʎa | Linguist: is aʎa
BPE: himon | Linguist: himon
BPE: žoho | Linguist: žoho
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: hobołe | Linguist: hobołe
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: hobołe | Linguist: hobołe
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: guc’ aʎa | Linguist: guc’ aʎa
BPE: hos | Linguist: hos
BPE: žu | Linguist: žu
BPE: ílʲo | Linguist: ílʲo
BPE: žu | Linguist: žu
BPE: guc’ šehol | Linguist: guc’ šehol
BPE: isul | Linguist: isul
BPE: ło | Linguist: ło
BPE: l ɨs ɨn | Linguist: l ɨs ɨn
BPE: ono | Linguist: ono
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: me | Linguist: me
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: ħalt’i | Linguist: ħalt’i
BPE: do | Linguist: do
BPE: obu | Linguist: obu
BPE: ɣode | Linguist: ɣode
BPE: do | Linguist: do
BPE: ɣode | Linguist: ɣode
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: obu | Linguist: obu
BPE: ɣode | Linguist: ɣode
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: iso | Linguist: iso
BPE: ħono | Linguist: ħono
BPE: kad | Linguist: kad
BPE: heč’č’e | Linguist: heč’č’e
BPE: huⁿne ma | Linguist: huⁿne ma
BPE: isul | Linguist: isul
BPE: boc’o | Linguist: boc’o
BPE: hed | Linguist: hed
BPE: ise | Linguist: ise
BPE: dubo | Linguist: dubo
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: žequł | Linguist: žequł
BPE: os | Linguist: os
BPE: iʎ še | Linguist: iʎ še
BPE: ise | Linguist: ise
BPE: hibo | Linguist: hibo
BPE: diyo | Linguist: diyo
BPE: mo | Linguist: mo
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: he | Linguist: he
BPE: dilʲ | Linguist: dilʲ
BPE: obu | Linguist: obu
BPE: do | Linguist: do
BPE: gobi | Linguist: gobi
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobołe | Linguist: hobołe
BPE: lac’a | Linguist: lac’a
BPE: ʎɨn | Linguist: ʎɨn
BPE: me | Linguist: me
BPE: dilʲ | Linguist: dilʲ
BPE: hic o | Linguist: hic o
BPE: dilʲ | Linguist: dilʲ
