BPE: kartoška | Linguist: kartoška
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: užá | Linguist: užá
BPE: eze | Linguist: eze
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: t’ut’ | Linguist: t’ut’
BPE: gamušaza | Linguist: gamušaza
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: mo | Linguist: mo
BPE: hobode | Linguist: hobode
BPE: hobode | Linguist: hobode
BPE: q’ˤʷana | Linguist: q’ˤʷana
BPE: mina | Linguist: mina
BPE: dilʲ | Linguist: dilʲ
BPE: homone | Linguist: homone
BPE: hos | Linguist: hos
BPE: xalq’i | Linguist: xalq’i
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: do | Linguist: do
BPE: homone | Linguist: homone
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
BPE: boc’o | Linguist: boc’o
BPE: ono | Linguist: ono
BPE: omˤoq’ˤe | Linguist: omˤoq’ˤe
BPE: gollu | Linguist: gollu
BPE: hed | Linguist: hed
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: dibiržik’o | Linguist: dibiržik’o
BPE: dubul | Linguist: dubul
BPE: soyro | Linguist: soyro
BPE: ɣolʎ’o | Linguist: ɣolʎ’o
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: užá | Linguist: užá
BPE: hed | Linguist: hed
BPE: soyro | Linguist: soyro
BPE: ilʲó | Linguist: ilʲó
BPE: aʎ | Linguist: aʎ
BPE: ʎilʲo | Linguist: ʎilʲo
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: soyro | Linguist: soyro
BPE: idu | Linguist: idu
BPE: boc’o | Linguist: boc’o
BPE: ise | Linguist: ise
BPE: q’ˤem | Linguist: q’ˤem
BPE: ono | Linguist: ono
BPE: de | Linguist: de
BPE: qarpuz | Linguist: qarpuz
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: žohol | Linguist: žohol
BPE: iłe | Linguist: iłe
BPE: saxłi | Linguist: saxłi
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: de | Linguist: de
BPE: uže | Linguist: uže
BPE: žohoq’ˤemul | Linguist: žohoq’ˤemul
BPE: idu | Linguist: idu
BPE: iłeqol | Linguist: iłeqol
BPE: žohoq’ˤemɨl | Linguist: žohoq’ˤemɨl
BPE: zzu | Linguist: zzu
BPE: uže | Linguist: uže
BPE: žeq’ul | Linguist: žeq’ul
BPE: bit’t’e | Linguist: bit’t’e
BPE: ise | Linguist: ise
BPE: bit’t’enuq’ul | Linguist: bit’t’enuq’ul
BPE: bit’t’el | Linguist: bit’t’el
BPE: hada | Linguist: hada
BPE: alaxʎ’al | Linguist: alaxʎ’al
BPE: q’udu | Linguist: q’udu
BPE: idu | Linguist: idu
BPE: ɣine | Linguist: ɣine
BPE: ło | Linguist: ło
BPE: heⁿše | Linguist: heⁿše
BPE: obu | Linguist: obu
BPE: isuqol | Linguist: isuqol
BPE: hobot’un | Linguist: hobot’un
BPE: aluk’a | Linguist: aluk’a
BPE: soyro | Linguist: soyro
BPE: ʎɨn | Linguist: ʎɨn
BPE: zamana | Linguist: zamana
BPE: soyro | Linguist: soyro
BPE: hobot’un | Linguist: hobot’un
BPE: iłe | Linguist: iłe
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: kukkołsi | Linguist: kukkołsi
BPE: o<y>ne | Linguist: o<y>ne
BPE: hos | Linguist: hos
BPE: kad | Linguist: kad
BPE: hobo | Linguist: hobo
BPE: ʎun | Linguist: ʎun
BPE: ise | Linguist: ise
BPE: xanqal | Linguist: xanqal
BPE: ise | Linguist: ise
BPE: lac’a | Linguist: lac’a
BPE: a<w>e | Linguist: a<w>e
BPE: žu | Linguist: žu
BPE: uže | Linguist: uže
BPE: a<r>e | Linguist: a<r>e
BPE: šiʎ’u | Linguist: šiʎ’u
BPE: diyo | Linguist: diyo
BPE: a<y>e | Linguist: a<y>e
BPE: žu | Linguist: žu
BPE: dubul | Linguist: dubul
BPE: o<w>ne | Linguist: o<w>ne
BPE: ʎ’iho | Linguist: ʎ’iho
BPE: hosunu | Linguist: hosunu
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: o<y>e | Linguist: o<y>e
BPE: žu | Linguist: žu
BPE: ɣine | Linguist: ɣine
BPE: o<w>e | Linguist: o<w>e
BPE: qarpuz | Linguist: qarpuz
BPE: žik’o | Linguist: žik’o
BPE: diyo | Linguist: diyo
BPE: soyro | Linguist: soyro
BPE: žide | Linguist: žide
BPE: šiʎ’u | Linguist: šiʎ’u
BPE: hibo | Linguist: hibo
BPE: me | Linguist: me
BPE: ilʲlʲo | Linguist: ilʲlʲo
BPE: išet’ɨs | Linguist: išet’ɨs
BPE: ondu | Linguist: ondu
BPE: lože | Linguist: lože
BPE: hobondu | Linguist: hobondu
BPE: q’ut’i | Linguist: q’ut’i
BPE: ʎun | Linguist: ʎun
BPE: kandaza | Linguist: kandaza
BPE: heč’č’e | Linguist: heč’č’e
BPE: sahi | Linguist: sahi
BPE: žik’be | Linguist: žik’be
BPE: baydan | Linguist: baydan
BPE: ɣolʎ’o | Linguist: ɣolʎ’o
BPE: žoq’uža | Linguist: žoq’uža
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: ʎ’olo | Linguist: ʎ’olo
BPE: mus | Linguist: mus
BPE: gił | Linguist: gił
BPE: eⁿš | Linguist: eⁿš
BPE: liʎ’a | Linguist: liʎ’a
BPE: eⁿš | Linguist: eⁿš
BPE: iso | Linguist: iso
BPE: xuy | Linguist: xuy
BPE: ɣiná | Linguist: ɣiná
BPE: podnos | Linguist: podnos
BPE: gił | Linguist: gił
BPE: gił | Linguist: gił
BPE: idu | Linguist: idu
BPE: žoho | Linguist: žoho
BPE: žik’o | Linguist: žik’o
BPE: žohžoho | Linguist: žohžoho
BPE: hoⁿq’osa | Linguist: hoⁿq’osa
BPE: ɣonołul | Linguist: ɣonołul
BPE: žoho | Linguist: žoho
BPE: oge | Linguist: oge
BPE: ɣonur | Linguist: ɣonur
BPE: goli | Linguist: goli
BPE: isulo | Linguist: isulo
BPE: oge | Linguist: oge
BPE: de | Linguist: de
BPE: taraxtur | Linguist: taraxtur
BPE: solo | Linguist: solo
BPE: izo | Linguist: izo
BPE: hadal | Linguist: hadal
BPE: aumru | Linguist: aumru
BPE: dubuł | Linguist: dubuł
BPE: hadal | Linguist: hadal
BPE: ílʲo | Linguist: ílʲo
BPE: ʎɨn | Linguist: ʎɨn
BPE: dandil | Linguist: dandil
BPE: haca | Linguist: haca
BPE: iłelo | Linguist: iłelo
BPE: dandil | Linguist: dandil
BPE: huⁿho | Linguist: huⁿho
BPE: kert’i | Linguist: kert’i
BPE: izzulo | Linguist: izzulo
BPE: kanaw | Linguist: kanaw
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: ustur | Linguist: ustur
BPE: kad | Linguist: kad
BPE: sabałɨn | Linguist: sabałɨn
BPE: mo | Linguist: mo
BPE: sabałɨn | Linguist: sabałɨn
BPE: hobože | Linguist: hobože
BPE: roq’ihol | Linguist: roq’ihol
BPE: idu | Linguist: idu
BPE: žulik | Linguist: žulik
BPE: iłe | Linguist: iłe
BPE: heⁿše | Linguist: heⁿše
BPE: roq’ihol | Linguist: roq’ihol
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: zik’o | Linguist: zik’o
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: žide35 | Linguist: žide35
BPE: xabar | Linguist: xabar
BPE: aq | Linguist: aq
BPE: izze | Linguist: izze
BPE: žik’oza | Linguist: žik’oza
BPE: hed | Linguist: hed
BPE: iłe | Linguist: iłe
BPE: ɣiná | Linguist: ɣiná
BPE: lac’a | Linguist: lac’a
BPE: hadaquł | Linguist: hadaquł
BPE: hada | Linguist: hada
BPE: žik’oloho | Linguist: žik’oloho
BPE: idu | Linguist: idu
BPE: kandazas | Linguist: kandazas
BPE: obu | Linguist: obu
BPE: wallah | Linguist: wallah
BPE: do | Linguist: do
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: užałsi | Linguist: užałsi
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: inu | Linguist: inu
BPE: kad | Linguist: kad
BPE: hobołe | Linguist: hobołe
BPE: iłes | Linguist: iłes
BPE: xol | Linguist: xol
BPE: o<r>enu | Linguist: o<r>enu
BPE: o<w>enu | Linguist: o<w>enu
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: łul | Linguist: łul
BPE: mižul | Linguist: mižul
BPE: dudu | Linguist: dudu
BPE: ʎun | Linguist: ʎun
BPE: dow | Linguist: dow
BPE: hunar | Linguist: hunar
BPE: dubo | Linguist: dubo
BPE: goli | Linguist: goli
BPE: me | Linguist: me
BPE: o<r>duardu | Linguist: o<r>duardu
BPE: azar | Linguist: azar
BPE: himon | Linguist: himon
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: izzu | Linguist: izzu
BPE: isuqol | Linguist: isuqol
BPE: mo | Linguist: mo
BPE: ʎɨn | Linguist: ʎɨn
BPE: šomo | Linguist: šomo
BPE: ʎib | Linguist: ʎib
BPE: goli | Linguist: goli
BPE: doccu | Linguist: doccu
BPE: baha | Linguist: baha
BPE: goli | Linguist: goli
BPE: hadaquł | Linguist: hadaquł
BPE: doccu | Linguist: doccu
BPE: žu | Linguist: žu
BPE: geq | Linguist: geq
BPE: ʎɨn | Linguist: ʎɨn
BPE: doco | Linguist: doco
BPE: iłe | Linguist: iłe
BPE: doco | Linguist: doco
BPE: dubul | Linguist: dubul
BPE: doco | Linguist: doco
BPE: uže | Linguist: uže
BPE: isuɣol | Linguist: isuɣol
BPE: ide | Linguist: ide
BPE: heⁿhe | Linguist: heⁿhe
BPE: hiblʲa | Linguist: hiblʲa
BPE: ʎɨn | Linguist: ʎɨn
BPE: łeneʎeru | Linguist: łeneʎeru
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: xanqali | Linguist: xanqali
BPE: hosun | Linguist: hosun
BPE: dogu | Linguist: dogu
BPE: ħono | Linguist: ħono
BPE: hunar | Linguist: hunar
BPE: dubul | Linguist: dubul
BPE: ʎɨn | Linguist: ʎɨn
BPE: aⁿcmaqa | Linguist: aⁿcmaqa
BPE: t’uk’ | Linguist: t’uk’
BPE: hos | Linguist: hos
BPE: hadam | Linguist: hadam
BPE: wallah | Linguist: wallah
BPE: diyo | Linguist: diyo
BPE: zebu | Linguist: zebu
BPE: goli | Linguist: goli
BPE: edub | Linguist: edub
BPE: q’ala | Linguist: q’ala
BPE: burku | Linguist: burku
BPE: edub | Linguist: edub
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: lɨʎ’e | Linguist: lɨʎ’e
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: hadamqal | Linguist: hadamqal
BPE: himon | Linguist: himon
BPE: ~oli | Linguist: ~oli
BPE: os | Linguist: os
BPE: goli | Linguist: goli
BPE: homonu | Linguist: homonu
BPE: iso | Linguist: iso
BPE: eⁿs | Linguist: eⁿs
BPE: hadam | Linguist: hadam
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: ustulʎ’ozi | Linguist: ustulʎ’ozi
BPE: dubul | Linguist: dubul
BPE: himon | Linguist: himon
BPE: dilʲlʲo | Linguist: dilʲlʲo
BPE: ustuqo | Linguist: ustuqo
BPE: hibo | Linguist: hibo
BPE: himon | Linguist: himon
BPE: dow | Linguist: dow
BPE: himon | Linguist: himon
BPE: łun | Linguist: łun
BPE: heⁿše | Linguist: heⁿše
BPE: ise | Linguist: ise
BPE: dudun | Linguist: dudun
BPE: isul | Linguist: isul
BPE: soyro | Linguist: soyro
BPE: nan | Linguist: nan
BPE: ise | Linguist: ise
BPE: hoččun | Linguist: hoččun
BPE: ise | Linguist: ise
BPE: hoččun | Linguist: hoččun
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎ’aʎ’aqu | Linguist: ʎ’aʎ’aqu
BPE: žik’os | Linguist: žik’os
BPE: t’iri | Linguist: t’iri
BPE: lac’as | Linguist: lac’as
BPE: himon | Linguist: himon
BPE: heč’č’e | Linguist: heč’č’e
BPE: atɣul | Linguist: atɣul
BPE: ħalla | Linguist: ħalla
BPE: t’iri | Linguist: t’iri
BPE: židuł | Linguist: židuł
BPE: himon | Linguist: himon
BPE: iseise | Linguist: iseise
BPE: diyo | Linguist: diyo
BPE: ħono | Linguist: ħono
BPE: azar | Linguist: azar
BPE: armic | Linguist: armic
BPE: goli | Linguist: goli
BPE: hobołe | Linguist: hobołe
BPE: ɣolʎ’oli | Linguist: ɣolʎ’oli
BPE: žibžib | Linguist: žibžib
BPE: idu | Linguist: idu
BPE: šaytdan | Linguist: šaytdan
BPE: golluč | Linguist: golluč
BPE: hadam | Linguist: hadam
BPE: isuqol | Linguist: isuqol
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: dubʎeru | Linguist: dubʎeru
BPE: hosunun | Linguist: hosunun
BPE: uⁿč | Linguist: uⁿč
BPE: žido | Linguist: žido
BPE: bešon | Linguist: bešon
BPE: xozyaystva | Linguist: xozyaystva
BPE: gollu | Linguist: gollu
BPE: aʎ | Linguist: aʎ
BPE: dilʲ | Linguist: dilʲ
BPE: bešon | Linguist: bešon
BPE: ɣuruš | Linguist: ɣuruš
BPE: hos | Linguist: hos
BPE: q’ˤʷene | Linguist: q’ˤʷene
BPE: ħono | Linguist: ħono
BPE: uⁿq’e | Linguist: uⁿq’e
BPE: łɨno | Linguist: łɨno
BPE: eⁿł | Linguist: eⁿł
BPE: oʎ | Linguist: oʎ
BPE: baʎ | Linguist: baʎ
BPE: oⁿče | Linguist: oⁿče
BPE: quno | Linguist: quno
BPE: baʎ | Linguist: baʎ
BPE: eⁿł | Linguist: eⁿł
BPE: quno | Linguist: quno
BPE: oʎ | Linguist: oʎ
BPE: łɨno | Linguist: łɨno
BPE: łɨno | Linguist: łɨno
BPE: łɨno | Linguist: łɨno
BPE: quno | Linguist: quno
BPE: łɨno | Linguist: łɨno
BPE: oʎ | Linguist: oʎ
BPE: oⁿče | Linguist: oⁿče
BPE: q’ˤʷene | Linguist: q’ˤʷene
BPE: išt’ʷac’a | Linguist: išt’ʷac’a
BPE: eⁿł | Linguist: eⁿł
BPE: baʎ | Linguist: baʎ
BPE: quno | Linguist: quno
BPE: ħono | Linguist: ħono
BPE: quno | Linguist: quno
BPE: azarun | Linguist: azarun
BPE: ɣolʎ’o | Linguist: ɣolʎ’o
BPE: židu | Linguist: židu
BPE: hos | Linguist: hos
BPE: yašk’a | Linguist: yašk’a
BPE: heč’č’e | Linguist: heč’č’e
BPE: co | Linguist: co
BPE: keč’iqan | Linguist: keč’iqan
BPE: hos | Linguist: hos
BPE: q’ˤʷene | Linguist: q’ˤʷene
BPE: quno | Linguist: quno
BPE: hoⁿq’oso | Linguist: hoⁿq’oso
BPE: do | Linguist: do
BPE: do | Linguist: do
BPE: hed | Linguist: hed
BPE: ʎɨn | Linguist: ʎɨn
BPE: ɣiná | Linguist: ɣiná
BPE: hobože | Linguist: hobože
BPE: čay | Linguist: čay
BPE: os | Linguist: os
BPE: ɣolʎ’o | Linguist: ɣolʎ’o
BPE: čay | Linguist: čay
BPE: xuweʎ | Linguist: xuweʎ
BPE: gobi | Linguist: gobi
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: dilʲ | Linguist: dilʲ
BPE: mo | Linguist: mo
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: k’uca | Linguist: k’uca
BPE: xbasar | Linguist: xbasar
BPE: hed | Linguist: hed
BPE: ílʲo | Linguist: ílʲo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ilʲó | Linguist: ilʲó
BPE: aʎas | Linguist: aʎas
BPE: zik’os | Linguist: zik’os
BPE: hadam | Linguist: hadam
BPE: q’alá | Linguist: q’alá
BPE: ɣˤe | Linguist: ɣˤe
BPE: ise | Linguist: ise
BPE: obu | Linguist: obu
BPE: ilʲul | Linguist: ilʲul
BPE: q’uraan | Linguist: q’uraan
BPE: ʎɨn | Linguist: ʎɨn
BPE: de | Linguist: de
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: eⁿš | Linguist: eⁿš
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobołe | Linguist: hobołe
BPE: hobołe | Linguist: hobołe
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: ono | Linguist: ono
BPE: izzu | Linguist: izzu
BPE: ise | Linguist: ise
BPE: izzo | Linguist: izzo
BPE: xabar | Linguist: xabar
BPE: išu | Linguist: išu
BPE: bataxu | Linguist: bataxu
BPE: židu | Linguist: židu
BPE: židuł | Linguist: židuł
BPE: kumak | Linguist: kumak
BPE: armis | Linguist: armis
BPE: ise | Linguist: ise
BPE: diyo | Linguist: diyo
BPE: murad | Linguist: murad
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: de | Linguist: de
BPE: kaɣat | Linguist: kaɣat
BPE: do | Linguist: do
BPE: eⁿdul | Linguist: eⁿdul
BPE: lac’a | Linguist: lac’a
BPE: ilʲe | Linguist: ilʲe
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎ’aʎ’aqú | Linguist: ʎ’aʎ’aqú
BPE: me | Linguist: me
