BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: ono | Linguist: ono
BPE: hos | Linguist: hos
BPE: iso | Linguist: iso
BPE: iʎ še | Linguist: iʎ še
BPE: dub lo | Linguist: dub lo
BPE: hos | Linguist: hos
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: q’ala | Linguist: q’ala
BPE: žik’o | Linguist: žik’o
BPE: dilʲ | Linguist: dilʲ
BPE: dilʲ | Linguist: dilʲ
BPE: dilʲ | Linguist: dilʲ
BPE: diyo | Linguist: diyo
BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: obu | Linguist: obu
BPE: kad | Linguist: kad
BPE: žu | Linguist: žu
BPE: gobi | Linguist: gobi
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: hibo | Linguist: hibo
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: užá | Linguist: užá
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: mo | Linguist: mo
BPE: dilʲ | Linguist: dilʲ
BPE: hos | Linguist: hos
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ise | Linguist: ise
BPE: do | Linguist: do
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
BPE: ono | Linguist: ono
BPE: gollu | Linguist: gollu
BPE: hed | Linguist: hed
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: dubul | Linguist: dubul
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: užá | Linguist: užá
BPE: hed | Linguist: hed
BPE: iłe l | Linguist: iłe l
BPE: goli | Linguist: goli
BPE: ono ɣul | Linguist: ono ɣul
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: ono | Linguist: ono
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: iłe | Linguist: iłe
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: de | Linguist: de
BPE: uže | Linguist: uže
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: is i | Linguist: is i
BPE: ise | Linguist: ise
BPE: idu | Linguist: idu
BPE: ło | Linguist: ło
BPE: heⁿše | Linguist: heⁿše
BPE: obu | Linguist: obu
BPE: ʎɨn | Linguist: ʎɨn
BPE: iłe | Linguist: iłe
BPE: iʎ aʎa | Linguist: iʎ aʎa
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: hos | Linguist: hos
BPE: kad | Linguist: kad
BPE: ʎun | Linguist: ʎun
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: ono ɣul | Linguist: ono ɣul
BPE: žu | Linguist: žu
BPE: uže | Linguist: uže
BPE: diyo | Linguist: diyo
BPE: žu | Linguist: žu
BPE: dubul | Linguist: dubul
BPE: diyo | Linguist: diyo
BPE: us un | Linguist: us un
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: diyo | Linguist: diyo
BPE: hibo | Linguist: hibo
BPE: me | Linguist: me
BPE: ʎun | Linguist: ʎun
BPE: ø ah un | Linguist: ø ah un
BPE: ur a ba | Linguist: ur a ba
BPE: ur a ba | Linguist: ur a ba
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: iso | Linguist: iso
BPE: idu | Linguist: idu
BPE: žik’o | Linguist: žik’o
BPE: aq la | Linguist: aq la
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: aq qa | Linguist: aq qa
BPE: do n | Linguist: do n
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: kad | Linguist: kad
BPE: dub ʎ’o | Linguist: dub ʎ’o
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: iłe | Linguist: iłe
BPE: heⁿše | Linguist: heⁿše
BPE: žu | Linguist: žu
BPE: žik’o | Linguist: žik’o
BPE: ise | Linguist: ise
BPE: kad | Linguist: kad
BPE: hed | Linguist: hed
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: do | Linguist: do
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: kad | Linguist: kad
BPE: iłes | Linguist: iłes
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ʎun | Linguist: ʎun
BPE: dow | Linguist: dow
BPE: goli | Linguist: goli
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: boc’ i | Linguist: boc’ i
BPE: mo | Linguist: mo
BPE: ʎɨn | Linguist: ʎɨn
BPE: dub qo | Linguist: dub qo
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: isx in | Linguist: isx in
BPE: žu | Linguist: žu
BPE: iłe l | Linguist: iłe l
BPE: ʎɨn | Linguist: ʎɨn
BPE: iłe | Linguist: iłe
BPE: dubul | Linguist: dubul
BPE: uže | Linguist: uže
BPE: ʎɨn | Linguist: ʎɨn
BPE: isx in | Linguist: isx in
BPE: me | Linguist: me
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: dubul | Linguist: dubul
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: q’ala | Linguist: q’ala
BPE: de | Linguist: de
BPE: heⁿše | Linguist: heⁿše
BPE: hos | Linguist: hos
BPE: himon | Linguist: himon
BPE: ise | Linguist: ise
BPE: himon | Linguist: himon
BPE: iʎ a | Linguist: iʎ a
BPE: os | Linguist: os
BPE: iʎ a | Linguist: iʎ a
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: dubul | Linguist: dubul
BPE: himon | Linguist: himon
BPE: hibo | Linguist: hibo
BPE: himon | Linguist: himon
BPE: dow | Linguist: dow
BPE: himon | Linguist: himon
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid bi | Linguist: c’alid bi
BPE: ise | Linguist: ise
BPE: isul | Linguist: isul
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: ʎɨn | Linguist: ʎɨn
BPE: iʎ bi | Linguist: iʎ bi
BPE: himon | Linguist: himon
BPE: himon | Linguist: himon
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: himon | Linguist: himon
BPE: gollu | Linguist: gollu
BPE: dilʲ | Linguist: dilʲ
BPE: hos | Linguist: hos
BPE: hos | Linguist: hos
BPE: hos | Linguist: hos
BPE: do | Linguist: do
BPE: do | Linguist: do
BPE: hed | Linguist: hed
BPE: ʎɨn | Linguist: ʎɨn
BPE: hobože | Linguist: hobože
BPE: os | Linguist: os
BPE: isx in | Linguist: isx in
BPE: gobi | Linguist: gobi
BPE: de | Linguist: de
BPE: mo | Linguist: mo
BPE: dilʲ | Linguist: dilʲ
BPE: mo | Linguist: mo
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: hed | Linguist: hed
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: obu | Linguist: obu
BPE: ʎɨn | Linguist: ʎɨn
BPE: de | Linguist: de
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: ono | Linguist: ono
BPE: aq ba n | Linguist: aq ba n
BPE: ise | Linguist: ise
BPE: ise | Linguist: ise
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: de | Linguist: de
BPE: do | Linguist: do
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: me | Linguist: me
BPE: isx o | Linguist: isx o
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: ise | Linguist: ise
BPE: obu | Linguist: obu
BPE: žu | Linguist: žu
BPE: užá | Linguist: užá
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: obu t’ ɨs | Linguist: obu t’ ɨs
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: ise | Linguist: ise
BPE: os | Linguist: os
BPE: ise | Linguist: ise
BPE: os | Linguist: os
BPE: himon | Linguist: himon
BPE: iłe | Linguist: iłe
BPE: q’ala | Linguist: q’ala
BPE: hed | Linguist: hed
BPE: uže | Linguist: uže
BPE: idu | Linguist: idu
BPE: mo | Linguist: mo
BPE: ono | Linguist: ono
BPE: l eq bi | Linguist: l eq bi
BPE: l eq bi | Linguist: l eq bi
BPE: de | Linguist: de
BPE: gobi | Linguist: gobi
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: hobože | Linguist: hobože
BPE: hed | Linguist: hed
BPE: gobi | Linguist: gobi
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: ono | Linguist: ono
BPE: idu | Linguist: idu
BPE: q’ala | Linguist: q’ala
BPE: q’ala | Linguist: q’ala
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: žu | Linguist: žu
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid in | Linguist: c’alid in
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid in | Linguist: c’alid in
BPE: užá | Linguist: užá
BPE: heⁿše | Linguist: heⁿše
BPE: c’alid bič | Linguist: c’alid bič
BPE: idu | Linguist: idu
BPE: ʎɨn | Linguist: ʎɨn
BPE: hos | Linguist: hos
BPE: dilʲ | Linguist: dilʲ
BPE: kad | Linguist: kad
BPE: goli | Linguist: goli
BPE: iłe | Linguist: iłe
BPE: is in ay | Linguist: is in ay
BPE: ɣono ł | Linguist: ɣono ł
BPE: žu | Linguist: žu
BPE: idu | Linguist: idu
BPE: iłe | Linguist: iłe
BPE: kad | Linguist: kad
BPE: žu | Linguist: žu
BPE: mo | Linguist: mo
BPE: gobi | Linguist: gobi
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: boc’ i | Linguist: boc’ i
BPE: gollu | Linguist: gollu
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: gollu | Linguist: gollu
BPE: goli | Linguist: goli
BPE: gollu | Linguist: gollu
BPE: kad | Linguist: kad
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: uže | Linguist: uže
BPE: iso | Linguist: iso
BPE: goli | Linguist: goli
BPE: is a | Linguist: is a
BPE: ʎɨn | Linguist: ʎɨn
BPE: dilʲ | Linguist: dilʲ
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: dubul | Linguist: dubul
BPE: hibo | Linguist: hibo
BPE: himon | Linguist: himon
BPE: dubul | Linguist: dubul
BPE: ʎun | Linguist: ʎun
BPE: ʎɨn | Linguist: ʎɨn
BPE: žu | Linguist: žu
BPE: dilʲ | Linguist: dilʲ
BPE: himon | Linguist: himon
BPE: žu | Linguist: žu
BPE: diyo | Linguist: diyo
BPE: de | Linguist: de
BPE: iłes | Linguist: iłes
BPE: do | Linguist: do
BPE: y ah i | Linguist: y ah i
BPE: do | Linguist: do
BPE: y ah un | Linguist: y ah un
BPE: žu | Linguist: žu
BPE: ø ah i | Linguist: ø ah i
BPE: žu | Linguist: žu
BPE: ø ah un | Linguist: ø ah un
BPE: hed | Linguist: hed
BPE: hed | Linguist: hed
BPE: do | Linguist: do
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: žu | Linguist: žu
BPE: do | Linguist: do
BPE: hed | Linguist: hed
BPE: žu | Linguist: žu
BPE: n uq un | Linguist: n uq un
BPE: hed | Linguist: hed
BPE: goli | Linguist: goli
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: do | Linguist: do
BPE: hos | Linguist: hos
BPE: do | Linguist: do
BPE: ono ɣul | Linguist: ono ɣul
BPE: do | Linguist: do
BPE: ono ɣul | Linguist: ono ɣul
BPE: diyo | Linguist: diyo
BPE: is bič | Linguist: is bič
BPE: obu | Linguist: obu
BPE: de | Linguist: de
BPE: iʎ bi k | Linguist: iʎ bi k
BPE: ʎɨn | Linguist: ʎɨn
BPE: q’ala | Linguist: q’ala
BPE: is aʎa | Linguist: is aʎa
BPE: himon | Linguist: himon
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: ø ah un | Linguist: ø ah un
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: me | Linguist: me
BPE: himon | Linguist: himon
BPE: goli | Linguist: goli
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: do | Linguist: do
BPE: hos | Linguist: hos
BPE: žu | Linguist: žu
BPE: ø ah aʎa | Linguist: ø ah aʎa
BPE: žu | Linguist: žu
BPE: isul | Linguist: isul
BPE: ło | Linguist: ło
BPE: ono | Linguist: ono
BPE: me | Linguist: me
BPE: de | Linguist: de
BPE: žu | Linguist: žu
BPE: do | Linguist: do
BPE: obu | Linguist: obu
BPE: do | Linguist: do
BPE: mo | Linguist: mo
BPE: hobože | Linguist: hobože
BPE: obu | Linguist: obu
BPE: hos | Linguist: hos
BPE: žik’o | Linguist: žik’o
BPE: iso | Linguist: iso
BPE: kad | Linguist: kad
BPE: isul | Linguist: isul
BPE: hed | Linguist: hed
BPE: ise | Linguist: ise
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: ʎɨn | Linguist: ʎɨn
BPE: os | Linguist: os
BPE: iʎ še | Linguist: iʎ še
BPE: ise | Linguist: ise
BPE: hibo | Linguist: hibo
BPE: diyo | Linguist: diyo
BPE: mo | Linguist: mo
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: he | Linguist: he
BPE: dilʲ | Linguist: dilʲ
BPE: obu | Linguist: obu
BPE: do | Linguist: do
BPE: gobi | Linguist: gobi
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: me | Linguist: me
BPE: dilʲ | Linguist: dilʲ
BPE: dilʲ | Linguist: dilʲ
BPE: heⁿše | Linguist: heⁿše
BPE: iʎ o | Linguist: iʎ o
BPE: mo | Linguist: mo
BPE: me | Linguist: me
BPE: mo | Linguist: mo
BPE: c’alid o | Linguist: c’alid o
BPE: me | Linguist: me
BPE: c’alid o | Linguist: c’alid o
BPE: mo | Linguist: mo
BPE: me | Linguist: me
BPE: mo | Linguist: mo
BPE: dubul | Linguist: dubul
BPE: dubul | Linguist: dubul
BPE: žu | Linguist: žu
BPE: himon | Linguist: himon
BPE: dubul | Linguist: dubul
BPE: do | Linguist: do
BPE: dubul | Linguist: dubul
BPE: do | Linguist: do
BPE: dubul | Linguist: dubul
BPE: do | Linguist: do
BPE: dubul | Linguist: dubul
BPE: do | Linguist: do
BPE: dubul | Linguist: dubul
BPE: me | Linguist: me
BPE: me | Linguist: me
BPE: dilʲ | Linguist: dilʲ
BPE: isul | Linguist: isul
BPE: heⁿše | Linguist: heⁿše
BPE: mo | Linguist: mo
BPE: ʎɨn | Linguist: ʎɨn
BPE: de | Linguist: de
BPE: me | Linguist: me
BPE: de | Linguist: de
BPE: me | Linguist: me
BPE: hibo | Linguist: hibo
BPE: do | Linguist: do
BPE: goli | Linguist: goli
BPE: dilʲ | Linguist: dilʲ
BPE: gobi | Linguist: gobi
BPE: dubul | Linguist: dubul
BPE: gollu | Linguist: gollu
BPE: diyo | Linguist: diyo
BPE: ise | Linguist: ise
BPE: do | Linguist: do
BPE: iso | Linguist: iso
BPE: ʎɨn | Linguist: ʎɨn
BPE: iʎ o | Linguist: iʎ o
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎɨn | Linguist: ʎɨn
BPE: me | Linguist: me
BPE: ʎɨn | Linguist: ʎɨn
BPE: mo | Linguist: mo
BPE: mo | Linguist: mo
BPE: mo | Linguist: mo
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: ʎun | Linguist: ʎun
BPE: iłe | Linguist: iłe
BPE: dilʲ | Linguist: dilʲ
BPE: gobi | Linguist: gobi
BPE: do | Linguist: do
BPE: obu | Linguist: obu
BPE: hobože | Linguist: hobože
BPE: ʎɨn | Linguist: ʎɨn
BPE: uže | Linguist: uže
BPE: žu | Linguist: žu
BPE: iłe | Linguist: iłe
BPE: ono z | Linguist: ono z
BPE: ise | Linguist: ise
BPE: hibo | Linguist: hibo
BPE: do | Linguist: do
BPE: kad | Linguist: kad
BPE: dow | Linguist: dow
BPE: dow | Linguist: dow
BPE: ʎɨn | Linguist: ʎɨn
BPE: isx in | Linguist: isx in
BPE: boc’ i | Linguist: boc’ i
BPE: heⁿše | Linguist: heⁿše
BPE: ise | Linguist: ise
BPE: iłes | Linguist: iłes
BPE: hos | Linguist: hos
BPE: isx in | Linguist: isx in
BPE: hos | Linguist: hos
BPE: hos | Linguist: hos
BPE: de | Linguist: de
BPE: me | Linguist: me
BPE: n uq un | Linguist: n uq un
BPE: ø ah un | Linguist: ø ah un
BPE: ono | Linguist: ono
BPE: goli | Linguist: goli
BPE: hed | Linguist: hed
BPE: diyo | Linguist: diyo
BPE: kad | Linguist: kad
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: žik’o | Linguist: žik’o
BPE: žik’o | Linguist: žik’o
BPE: idu | Linguist: idu
BPE: idu | Linguist: idu
BPE: hos | Linguist: hos
BPE: hobože | Linguist: hobože
BPE: idu | Linguist: idu
BPE: iłes | Linguist: iłes
BPE: iłes | Linguist: iłes
BPE: kad | Linguist: kad
BPE: kad | Linguist: kad
BPE: me | Linguist: me
BPE: hed | Linguist: hed
BPE: me | Linguist: me
BPE: hobože | Linguist: hobože
BPE: iso | Linguist: iso
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: žik’o | Linguist: žik’o
BPE: gobi | Linguist: gobi
BPE: me | Linguist: me
BPE: do | Linguist: do
BPE: ʎɨn | Linguist: ʎɨn
BPE: ʎun | Linguist: ʎun
BPE: iłe | Linguist: iłe
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: iłe l | Linguist: iłe l
BPE: os | Linguist: os
BPE: de | Linguist: de
BPE: iłe l | Linguist: iłe l
BPE: os | Linguist: os
BPE: dubul | Linguist: dubul
BPE: de | Linguist: de
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: diyo | Linguist: diyo
BPE: goli | Linguist: goli
BPE: de | Linguist: de
BPE: os | Linguist: os
BPE: de | Linguist: de
BPE: iłe l | Linguist: iłe l
BPE: os | Linguist: os
BPE: de | Linguist: de
BPE: iłe l | Linguist: iłe l
BPE: os | Linguist: os
BPE: dilʲ | Linguist: dilʲ
BPE: ɨs | Linguist: ɨs
BPE: dilʲ | Linguist: dilʲ
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: idu | Linguist: idu
BPE: kad | Linguist: kad
BPE: os | Linguist: os
BPE: isx i | Linguist: isx i
BPE: žik’o | Linguist: žik’o
BPE: goli | Linguist: goli
BPE: diyo | Linguist: diyo
BPE: ɨs | Linguist: ɨs
BPE: goli | Linguist: goli
BPE: diyo | Linguist: diyo
BPE: ɨs | Linguist: ɨs
BPE: goli | Linguist: goli
BPE: had i | Linguist: had i
BPE: kad | Linguist: kad
BPE: užá | Linguist: užá
BPE: iʎ a | Linguist: iʎ a
BPE: dilʲ | Linguist: dilʲ
BPE: heⁿše | Linguist: heⁿše
BPE: idu | Linguist: idu
BPE: kad | Linguist: kad
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: obu | Linguist: obu
BPE: uža s | Linguist: uža s
BPE: idu | Linguist: idu
BPE: uže | Linguist: uže
BPE: idu | Linguist: idu
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: žu | Linguist: žu
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: obu | Linguist: obu
BPE: idu | Linguist: idu
BPE: goli | Linguist: goli
BPE: kad | Linguist: kad
BPE: goli | Linguist: goli
BPE: iso | Linguist: iso
BPE: ono | Linguist: ono
BPE: do | Linguist: do
BPE: diyo | Linguist: diyo
BPE: gobi | Linguist: gobi
BPE: hos | Linguist: hos
BPE: goli | Linguist: goli
BPE: hobože | Linguist: hobože
BPE: do | Linguist: do
BPE: uže | Linguist: uže
BPE: idu | Linguist: idu
BPE: ise | Linguist: ise
BPE: užá | Linguist: užá
BPE: idu | Linguist: idu
BPE: žu | Linguist: žu
BPE: ono | Linguist: ono
BPE: iłes | Linguist: iłes
BPE: žu | Linguist: žu
BPE: do | Linguist: do
BPE: užá | Linguist: užá
BPE: iʎ dow | Linguist: iʎ dow
BPE: ise | Linguist: ise
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: uža ba | Linguist: uža ba
BPE: uža ba | Linguist: uža ba
BPE: uža s | Linguist: uža s
BPE: kad | Linguist: kad
BPE: uže | Linguist: uže
BPE: goli | Linguist: goli
BPE: goli | Linguist: goli
BPE: užá | Linguist: užá
BPE: užá | Linguist: užá
BPE: de | Linguist: de
BPE: užá | Linguist: užá
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: ono | Linguist: ono
BPE: žu | Linguist: žu
BPE: aʎ a ł ɣul | Linguist: aʎ a ł ɣul
BPE: kad | Linguist: kad
BPE: do | Linguist: do
BPE: dilʲ | Linguist: dilʲ
BPE: do | Linguist: do
BPE: dilʲ | Linguist: dilʲ
BPE: kad | Linguist: kad
BPE: uže | Linguist: uže
BPE: di ʎ’o | Linguist: di ʎ’o
BPE: idu | Linguist: idu
BPE: obu | Linguist: obu
BPE: gobi | Linguist: gobi
BPE: ise | Linguist: ise
BPE: žu | Linguist: žu
BPE: ʎɨn | Linguist: ʎɨn
BPE: idu | Linguist: idu
BPE: gollu | Linguist: gollu
BPE: hed | Linguist: hed
BPE: ʎɨn | Linguist: ʎɨn
BPE: hed | Linguist: hed
